order_id,customer_id,customer_segment,product_name,category,price,quantity,total_amount,sale_date,rating
ORD_000001,452,Básico,Tablet,Eletrônicos,1784.2,4,7136.8,2024-10-13,4.3
ORD_000002,1747,Básico,Laptop,Eletrônicos,1398.54,2,2797.08,2023-05-09,3.8
ORD_000003,491,Básico,Equipamento Gym,Esportes,462.19,4,1848.76,2023-07-14,4.5
ORD_000004,1240,Básico,Camiseta,Roupas,290.68,4,1162.72,2024-06-11,4.3
ORD_000005,983,Regular,Cadeira,Casa,370.74,3,1112.22,2024-10-19,3.6
ORD_000006,1508,Regular,Vestido,Roupas,35.81,1,35.81,2023-12-08,4.3
ORD_000007,395,Premium,Raquete,Esportes,65.93,5,329.65000000000003,2023-09-16,3.4
ORD_000008,1116,Premium,Calça Jeans,Roupas,154.89,2,309.78,2024-03-15,4.9
ORD_000009,360,Premium,Creme,Beleza,179.75,4,719.0,2023-08-15,5.0
ORD_000010,1833,Regular,Fone de Ouvido,Eletrônicos,1931.11,5,9655.55,2023-03-17,4.4
ORD_000011,955,Básico,Biografia,Livros,40.75,4,163.0,2024-08-04,4.4
ORD_000012,1237,Regular,Técnico,Livros,56.0,2,112.0,2023-09-22,4.2
ORD_000013,1973,Básico,Maquiagem,Beleza,184.69,1,184.69,2024-01-07,4.5
ORD_000014,1006,Básico,Protetor Solar,Beleza,117.25,4,469.0,2024-04-11,3.2
ORD_000015,1548,Regular,Técnico,Livros,70.72,3,212.16,2023-03-26,3.4
ORD_000016,658,Premium,Mesa,Casa,773.21,1,773.21,2023-06-01,4.0
ORD_000017,1564,Premium,Mesa,Casa,1262.22,4,5048.88,2024-05-27,4.4
ORD_000018,407,Regular,Bicicleta,Esportes,87.99,2,175.98,2023-11-08,4.0
ORD_000019,1885,Regular,Mesa,Casa,746.35,4,2985.4,2024-05-09,3.2
ORD_000020,1762,Básico,Romance,Livros,45.6,5,228.0,2024-12-31,4.5
ORD_000021,1781,Básico,Romance,Livros,27.29,5,136.45,2024-11-07,3.6
ORD_000022,1491,Regular,Camiseta,Roupas,75.76,5,378.8,2023-07-18,4.3
ORD_000023,1530,Premium,Mesa,Casa,332.61,2,665.22,2024-01-24,4.9
ORD_000024,1357,Premium,Shampoo,Beleza,95.22,2,190.44,2023-09-06,4.9
ORD_000025,85,Básico,Infantil,Livros,52.41,1,52.41,2024-11-19,4.0
ORD_000026,539,Premium,Cadeira,Casa,1793.27,2,3586.54,2024-09-07,3.6
ORD_000027,1168,Regular,Biografia,Livros,74.54,4,298.16,2023-02-01,4.1
ORD_000028,1580,Premium,Biografia,Livros,45.97,4,183.88,2023-09-17,3.1
ORD_000029,1799,Premium,Equipamento Gym,Esportes,389.97,2,779.94,2024-03-02,4.4
ORD_000030,688,Premium,Infantil,Livros,62.59,2,125.18,2024-08-15,3.8
ORD_000031,118,Regular,Shampoo,Beleza,156.32,5,781.5999999999999,2024-06-10,3.8
ORD_000032,1433,Regular,Protetor Solar,Beleza,49.92,4,199.68,2023-05-06,4.2
ORD_000033,1535,Básico,Shampoo,Beleza,178.09,5,890.45,2024-10-18,3.8
ORD_000034,430,Básico,Raquete,Esportes,439.54,1,439.54,2023-10-19,3.8
ORD_000035,1467,Regular,Shampoo,Beleza,111.32,3,333.96,2024-02-21,4.8
ORD_000036,377,Regular,Equipamento Gym,Esportes,201.23,2,402.46,2024-10-04,3.1
ORD_000037,949,Básico,Infantil,Livros,27.21,3,81.63,2024-04-13,4.2
ORD_000038,1721,Premium,Maquiagem,Beleza,53.79,3,161.37,2024-05-31,4.7
ORD_000039,551,Básico,Calça Jeans,Roupas,257.61,4,1030.44,2024-04-22,4.3
ORD_000040,1224,Regular,Infantil,Livros,78.18,1,78.18,2023-03-05,3.5
ORD_000041,548,Básico,Shampoo,Beleza,146.46,1,146.46,2023-08-21,3.3
ORD_000042,1807,Regular,Creme,Beleza,154.16,5,770.8,2023-10-23,4.6
ORD_000043,759,Básico,Romance,Livros,50.31,4,201.24,2024-10-25,4.1
